127.0.0.1 - - [01/Aug/2020:20:42:30 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:42:37 -0300] "GET /cherry/ HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:42:37 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:42:53 -0300] "GET /cherry/login HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:43:01 -0300] "GET /login HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:48:19 -0300] "GET /cherry HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:48:19 -0300] "GET /cherry/ HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:48:19 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:48:19 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:48:28 -0300] "GET /cherry/pages/auth/login HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:48:57 -0300] "GET /cherry/pages/auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:48:57 -0300] "GET /cherry/pages/auth/ HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:48:57 -0300] "GET /cherry/pages/auth/css/login.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:48:57 -0300] "GET /cherry/pages/auth/css/style.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:48:57 -0300] "GET /cherry/pages/auth/imgs/logo.png HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:54:49 -0300] "GET /cherry HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:54:49 -0300] "GET /cherry/ HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:54:49 -0300] "GET /cherry/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:54:49 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:54:49 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:55:23 -0300] "GET /cherry/ HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:55:23 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:55:23 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:55:23 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:55:23 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:56:01 -0300] "GET /cherry/ HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:56:01 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:56:01 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:56:01 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Aug/2020:20:56:01 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/Aug/2020:21:02:43 -0300] "GET /cherry/ HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [01/Aug/2020:21:02:43 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [01/Aug/2020:21:02:43 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [01/Aug/2020:21:02:43 -0300] "GET /cherry/imgs/cereja.png HTTP/1.1" 200 30167
